ID,Latitude,Longitude,rainfall_total_30d_mm,rainfall_mean_daily_mm,rainfall_max_daily_mm,rainfall_std_daily_mm,rainfall_7d_mm,rainfall_15d_mm,rainfall_30d_mm,rainfall_max_7d_mm,rainfall_max_15d_mm,rainfall_max_30d_mm
SLD09711,14.171906,75.123056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09712,18.602656,73.39487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09713,10.421266,76.121372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09714,11.20949,76.248679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09715,8.904358,76.985808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09716,16.055091,74.24758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09717,9.688073,77.121446,0.3394830636680125,0.011316102122267,0.3008290529251098,0.0551332638228638,0.0,0.0,0.3394830636680125,0.0,0.0,0.3008290529251098
SLD09718,10.708555,77.325404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09719,18.345943,73.219634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09720,17.157465,73.411378,0.062152869068086,0.0020717623022695,0.0124305738136172,0.0047117968443331,0.0,0.0,0.062152869068086,0.0,0.0,0.0124305738136172
SLD09721,12.105481,76.361866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09722,8.476083,76.985896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09723,18.090302,73.740452,0.2091574296355245,0.0069719143211841,0.0418314859271049,0.0158561838206683,0.0,0.0,0.2091574296355245,0.0,0.0,0.0418314859271049
SLD09724,10.845888,76.604712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09725,9.511823,77.376501,4.6063736621290445,0.1535457887376348,1.889617919921875,0.3545806447698551,0.2808172553777692,0.2808172553777692,4.6063736621290445,0.1787018924951553,0.1787018924951553,1.889617919921875
SLD09726,13.083303,75.784468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09727,14.772446,75.422555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09728,8.663844,77.214844,14.773524165153503,0.4924508055051168,5.672884464263916,1.1221246958306514,2.8200966119766235,3.189114898443222,14.773524165153503,0.5640193223953247,0.5640193223953247,5.672884464263916
SLD09729,10.708048,76.66313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09730,13.502765,75.653249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09731,18.241881,74.046996,0.091467825695872,0.0030489275231957,0.0182935651391744,0.0069341579710456,0.0,0.0,0.091467825695872,0.0,0.0,0.0182935651391744
SLD09732,18.860804,73.597819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09733,11.344855,76.489515,13.537736594676971,0.4512578864892324,4.229079246520996,0.9452348855019652,0.5843380987644194,0.908182233572006,13.537736594676971,0.4885066449642181,0.4885066449642181,4.229079246520996
SLD09734,12.899035,76.234087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09735,11.118818,76.717162,22.453634195029736,0.7484544731676579,7.223918914794922,1.570215082509252,2.056532472372055,3.5957434698939323,22.453634195029736,0.3556160926818847,0.8353560566902161,7.223918914794922
SLD09736,13.390993,75.564088,1.4110989077016711,0.0470366302567223,0.3971351683139801,0.0750294701171948,0.6026422157883642,0.7878700830042361,1.4110989077016711,0.0958313941955566,0.0958313941955566,0.3971351683139801
SLD09737,15.543902,74.753329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09738,14.571274,74.624707,0.7191299484111362,0.0239709982803712,0.0842714831233024,0.0311903337982166,0.5073837786912914,0.6364233233034606,0.7191299484111362,0.0842714831233024,0.0842714831233024,0.0842714831233024
SLD09739,10.544209,77.913043,0.8521733217639843,0.0284057773921328,0.8318126201629639,0.1517424326572266,0.0,0.0,0.8521733217639843,0.0,0.0,0.8318126201629639
SLD09740,14.104796,75.20195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09741,10.330304,76.311905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09742,16.079233,74.096762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09743,13.33866,74.988021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09744,12.821803,75.228057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09745,16.377518,73.731779,0.0929990503937004,0.0030999683464566,0.0185998100787401,0.007050239815816,0.0,0.0,0.0929990503937004,0.0,0.0,0.0185998100787401
SLD09746,10.655578,76.681516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09747,13.131904,75.410123,0.4560489207506176,0.0152016306916872,0.0499099865555763,0.0220115274862407,0.3321495279669759,0.4560489207506176,0.4560489207506176,0.0499099865555763,0.0499099865555763,0.0499099865555763
SLD09748,10.856834,76.782692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09749,9.326733,77.301084,10.0113934725523,0.3337131157517433,1.7795963287353516,0.5122078199892698,2.1772162318229675,2.1772162318229675,10.0113934725523,1.2469511032104492,1.2469511032104492,1.7795963287353516
SLD09750,9.025227,76.662301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09751,12.879858,74.835059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09752,11.129171,76.335053,7.587158210575581,0.2529052736858527,0.950096845626831,0.3460833733157578,0.7754872292280193,1.0089863762259477,7.587158210575581,0.3944316208362579,0.3944316208362579,0.950096845626831
SLD09753,10.509339,76.432684,17.487794067710638,0.5829264689236879,1.9383022785186768,0.6435024581142882,2.044450268149376,2.628069128841161,17.487794067710638,0.3674250841140747,0.3674250841140747,1.9383022785186768
SLD09754,13.730077,75.682313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09755,9.547692,76.532869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09756,13.940575,75.820025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09757,15.982381,74.263488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09758,10.789197,76.566586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09759,10.262231,76.246277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09760,13.958056,75.520304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09761,9.092579,76.574382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09762,18.935965,73.954378,0.4737834038678546,0.0157927801289284,0.0415549241006374,0.0177076598382574,0.0040627885609864,0.0267745379824185,0.4737834038678546,0.0020313942804932,0.0033235133159905,0.0415549241006374
SLD09763,17.82758,73.838564,0.6757201952859754,0.0225240065095325,0.0747595876455307,0.0302801944961637,0.0,0.0,0.6757201952859754,0.0,0.0,0.0747595876455307
SLD09764,15.46863,74.223586,0.06666112691164,0.0022220375637213,0.013332225382328,0.0050535669894479,0.06666112691164,0.06666112691164,0.06666112691164,0.013332225382328,0.013332225382328,0.013332225382328
SLD09765,18.660466,73.538533,0.009891546797007,0.0003297182265669,0.0019783093594014,0.000749876227478,0.009891546797007,0.009891546797007,0.009891546797007,0.0019783093594014,0.0019783093594014,0.0019783093594014
SLD09766,16.645985,73.547719,0.1123775169253345,0.0037459172308444,0.0224755033850669,0.0085193175723351,0.0,0.0,0.1123775169253345,0.0,0.0,0.0224755033850669
SLD09767,15.367299,74.339276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09768,16.0139,74.363677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09769,14.005895,75.775449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09770,16.455159,74.31301,0.0919949915260075,0.0030664997175335,0.0183989983052015,0.0069741223094924,0.0,0.0,0.0919949915260075,0.0,0.0,0.0183989983052015
SLD09771,11.811553,76.375977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09772,13.338919,75.573938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLD09773,12.012751,76.264368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
