ID,Category,Latitude,Longitude
SLD_04285,Landslide,13.107794,75.48478056
SLD_04286,Landslide,13.108206,75.48436667
SLD_04287,Landslide,13.108494,75.48465833
SLD_04288,Landslide,13.108794,75.4848
SLD_04289,Landslide,13.109089,75.48562222
SLD_04290,Landslide,13.109289,75.48587222
SLD_04291,Landslide,13.109467,75.486746
SLD_04292,Landslide,13.109508,75.486283
SLD_04293,Landslide,13.109917,75.48756389
SLD_04294,Landslide,13.109917,75.48756389
SLD_04295,Landslide,13.11,74.92
SLD_04296,Landslide,13.11,74.92
SLD_04297,Landslide,13.11,74.92
SLD_04298,Landslide,13.11,74.92
SLD_04299,Landslide,13.11,74.96
SLD_04300,Landslide,13.110297,75.48794444
SLD_04301,Landslide,13.1111,75.48815
SLD_04302,Landslide,13.111261,75.4888
SLD_04303,Landslide,13.111725,75.488375
SLD_04304,Landslide,13.112194,75.48992222
SLD_04305,Landslide,13.112506,75.49129167
SLD_04306,Landslide,13.113078,75.49271944
SLD_04307,Landslide,13.113224,75.495712
SLD_04308,Landslide,13.113369,75.49297222
SLD_04309,Landslide,13.113604,75.494931
SLD_04310,Landslide,13.113956,75.493981
SLD_04311,Landslide,13.114037,75.496895
SLD_04312,Landslide,13.114205,75.496927
SLD_04313,Landslide,13.114508,75.49356389
SLD_04314,Landslide,13.11453,75.49693
SLD_04315,Landslide,13.115003,75.49697778
SLD_04316,Landslide,13.116056,75.49677778
SLD_04317,Landslide,13.116455,75.49638
SLD_04318,Landslide,13.116739,75.49595556
SLD_04319,Landslide,13.11725,75.49513889
SLD_04320,Landslide,13.117922,75.513139
SLD_04321,Landslide,13.117933,75.505292
SLD_04322,Landslide,13.118442,75.49506944
SLD_04323,Landslide,13.118603,75.503969
SLD_04324,Landslide,13.118986,75.495379
SLD_04325,Landslide,13.119031,75.50414167
SLD_04326,Landslide,13.119369,75.495297
SLD_04327,Landslide,13.119397,75.503161
SLD_04328,Landslide,13.119961,75.50310833
SLD_04329,Landslide,13.119997,75.502342
SLD_04330,Landslide,13.12,74.93
SLD_04331,Landslide,13.120031,75.49533611
SLD_04332,Landslide,13.120233,75.511756
SLD_04333,Landslide,13.120675,75.4952
SLD_04334,Landslide,13.120719,75.50132222
SLD_04335,Landslide,13.120889,75.49986111
SLD_04336,Landslide,13.120944,75.49936667
SLD_04337,Landslide,13.121139,75.48854722
SLD_04338,Landslide,13.121167,75.49918611
SLD_04339,Landslide,13.121583,75.49884444
SLD_04340,Landslide,13.121667,75.49473889
SLD_04341,Landslide,13.121756,75.50029444
SLD_04342,Landslide,13.121783,75.49839444
SLD_04343,Landslide,13.122178,75.49540556
SLD_04344,Landslide,13.122392,75.49776944
SLD_04345,Landslide,13.122494,75.49745556
SLD_04346,Landslide,13.122661,75.49536389
SLD_04347,Landslide,13.122819,75.49686944
SLD_04348,Landslide,13.123094,75.49497222
SLD_04349,Landslide,13.123161,75.49390833
SLD_04350,Landslide,13.123233,75.49331944
SLD_04351,Landslide,13.12365,75.495875
SLD_04352,Landslide,13.125439,75.48674722
SLD_04353,Landslide,13.125586,75.48698056
SLD_04354,Landslide,13.126536,75.48714167
SLD_04355,Landslide,13.12715,75.48799722
SLD_04356,Landslide,13.127256,75.48810278
SLD_04357,Landslide,13.127256,75.48810278
SLD_04358,Landslide,13.129167,75.5147
SLD_04359,Landslide,13.131117,75.48319444
SLD_04360,Landslide,13.131406,75.542392
SLD_04361,Landslide,13.132053,75.543775
SLD_04362,Landslide,13.137,75.508542
SLD_04363,Landslide,13.13935,75.636272
SLD_04364,Landslide,13.13935,75.636272
SLD_04365,Landslide,13.14075,75.41705556
SLD_04366,Landslide,13.140889,75.41575
SLD_04367,Landslide,13.141222,75.41472222
SLD_04368,Landslide,13.141472,75.41683889
SLD_04369,Landslide,13.141528,75.41797222
SLD_04370,Landslide,13.141639,75.41744444
SLD_04371,Landslide,13.141667,75.41780556
SLD_04372,Landslide,13.142619,75.41562222
SLD_04373,Landslide,13.143431,75.41753611
SLD_04374,Landslide,13.144175,75.41755556
SLD_04375,Landslide,13.144478,75.43241667
SLD_04376,Landslide,13.144519,75.426275
SLD_04377,Landslide,13.144758,75.43283611
SLD_04378,Landslide,13.145178,75.41796389
SLD_04379,Landslide,13.145375,75.41823611
SLD_04380,Landslide,13.145528,75.42067778
SLD_04381,Landslide,13.145528,75.42018889
SLD_04382,Landslide,13.145561,75.43621389
SLD_04383,Landslide,13.145928,75.42161667
SLD_04384,Landslide,13.146178,75.43465833
SLD_04385,Landslide,13.146392,75.44256667
SLD_04386,Landslide,13.146433,75.43439444
SLD_04387,Landslide,13.146717,75.43422778
SLD_04388,Landslide,13.146917,75.631236
SLD_04389,Landslide,13.147483,75.4241
SLD_04390,Landslide,13.147769,75.44210556
SLD_04391,Landslide,13.148119,75.43490833
SLD_04392,Landslide,13.148261,75.43549167
SLD_04393,Landslide,13.148317,75.43513056
SLD_04394,Landslide,13.148333,75.630464
SLD_04395,Landslide,13.148428,75.42396111
SLD_04396,Landslide,13.148653,75.630356
SLD_04397,Landslide,13.148756,75.42409444
SLD_04398,Landslide,13.148922,75.41601944
SLD_04399,Landslide,13.149242,75.629869
SLD_04400,Landslide,13.149242,75.629869
SLD_04401,Landslide,13.149728,75.42378889
SLD_04402,Landslide,13.150133,75.43725556
SLD_04403,Landslide,13.150256,75.43881944
SLD_04404,Landslide,13.150458,75.43668333
SLD_04405,Landslide,13.150633,75.42712778
SLD_04406,Landslide,13.151058,75.43167222
SLD_04407,Landslide,13.151447,75.431875
SLD_04408,Landslide,13.153661,75.43593889
SLD_04409,Landslide,13.154419,75.43788889
SLD_04410,Landslide,13.155258,75.42015833
SLD_04411,Landslide,13.155742,75.43355
SLD_04412,Landslide,13.156464,75.681725
SLD_04413,Landslide,13.157842,75.683764
SLD_04414,Landslide,13.157858,75.687461
SLD_04415,Landslide,13.158122,75.525186
SLD_04416,Landslide,13.158206,75.44531667
SLD_04417,Landslide,13.159769,75.43175833
SLD_04418,Landslide,13.159814,75.43942222
SLD_04419,Landslide,13.160072,75.41798056
SLD_04420,Landslide,13.160139,75.43202778
SLD_04421,Landslide,13.160167,75.41928611
SLD_04422,Landslide,13.160472,75.43705556
SLD_04423,Landslide,13.160475,75.43961667
SLD_04424,Landslide,13.160478,75.41904722
SLD_04425,Landslide,13.1605,75.43075556
SLD_04426,Landslide,13.160556,75.43769444
SLD_04427,Landslide,13.160581,75.43725
SLD_04428,Landslide,13.160611,75.43641667
SLD_04429,Landslide,13.160694,75.43555556
SLD_04430,Landslide,13.1608,75.44183889
SLD_04431,Landslide,13.160889,75.43225
SLD_04432,Landslide,13.160944,75.41573889
SLD_04433,Landslide,13.161203,75.41518056
SLD_04434,Landslide,13.1615,75.42231944
SLD_04435,Landslide,13.161528,75.41494444
SLD_04436,Landslide,13.161556,75.4235
SLD_04437,Landslide,13.161578,75.42305833
SLD_04438,Landslide,13.161736,75.41436944
SLD_04439,Landslide,13.161914,75.42608889
SLD_04440,Landslide,13.162261,75.4255
SLD_04441,Landslide,13.162431,75.41350833
SLD_04442,Landslide,13.162592,75.41584444
SLD_04443,Landslide,13.163106,75.41518333
SLD_04444,Landslide,13.163197,75.40276111
SLD_04445,Landslide,13.163211,75.41568333
SLD_04446,Landslide,13.163303,75.40312778
SLD_04447,Landslide,13.163333,75.40219444
SLD_04448,Landslide,13.163717,75.41236111
SLD_04449,Landslide,13.164083,75.40111111
SLD_04450,Landslide,13.164383,75.41210833
SLD_04451,Landslide,13.164472,75.44251667
SLD_04452,Landslide,13.164778,75.40022222
SLD_04453,Landslide,13.165048,75.410493
SLD_04454,Landslide,13.165128,75.409349
SLD_04455,Landslide,13.165361,75.40733889
SLD_04456,Landslide,13.165375,75.44223889
SLD_04457,Landslide,13.165556,75.41025
SLD_04458,Landslide,13.165612,75.408087
SLD_04459,Landslide,13.165894,75.44276667
SLD_04460,Landslide,13.167662,75.451962
SLD_04461,Landslide,13.168069,75.40731389
SLD_04462,Landslide,13.168325,75.40531389
SLD_04463,Landslide,13.168436,75.40560556
SLD_04464,Landslide,13.168464,75.46169722
SLD_04465,Landslide,13.168481,75.39894722
SLD_04466,Landslide,13.168808,75.40454722
SLD_04467,Landslide,13.169333,75.39791667
SLD_04468,Landslide,13.169783,75.39492778
SLD_04469,Landslide,13.170225,75.651144
SLD_04470,Landslide,13.172864,75.39403611
SLD_04471,Landslide,13.183087,75.365963
SLD_04472,Landslide,13.183209,75.365925
SLD_04473,Landslide,13.184673,75.356275
SLD_04474,Landslide,13.186041,75.411101
SLD_04475,Landslide,13.186824,75.427937
SLD_04476,Landslide,13.189177,75.424377
SLD_04477,Landslide,13.189503,75.309979
SLD_04478,Landslide,13.191528,75.419431
SLD_04479,Landslide,13.193335,75.414127
SLD_04480,Landslide,13.194086,75.56865
SLD_04481,Landslide,13.194101,75.295056
SLD_04482,Landslide,13.195354,75.42306
SLD_04483,Landslide,13.195673,75.423542
SLD_04484,Landslide,13.195735,75.424239
SLD_04485,Landslide,13.195924,75.424656
SLD_04486,Landslide,13.196686,75.409557
SLD_04487,Landslide,13.19676,75.397879
SLD_04488,Landslide,13.196778,75.668722
SLD_04489,Landslide,13.196928,75.3917
SLD_04490,Landslide,13.197706,75.426592
SLD_04491,Landslide,13.197735,75.407739
SLD_04492,Landslide,13.198324,75.417662
SLD_04493,Landslide,13.198978,75.401696
SLD_04494,Landslide,13.199564,75.428616
SLD_04495,Landslide,13.1999,75.405711
SLD_04496,Landslide,13.200817,75.425459
SLD_04497,Landslide,13.202244,75.117919
SLD_04498,Landslide,13.202581,75.410134
SLD_04499,Landslide,13.202962,75.409863
SLD_04500,Landslide,13.20337,75.409634
SLD_04501,Landslide,13.205236,75.426479
SLD_04502,Landslide,13.205598,75.426081
SLD_04503,Landslide,13.209122,75.202078
SLD_04504,Landslide,13.210603,75.258846
SLD_04505,Landslide,13.211987,75.424953
SLD_04506,Landslide,13.212161,75.425065
SLD_04507,Landslide,13.212484,75.425198
SLD_04508,Landslide,13.213854,75.425569
SLD_04509,Landslide,13.214444,75.226133
SLD_04510,Landslide,13.214726,75.377836
SLD_04511,Landslide,13.215624,75.376824
SLD_04512,Landslide,13.21594,75.375912
SLD_04513,Landslide,13.216833,75.421021
SLD_04514,Landslide,13.218696,75.420822
SLD_04515,Landslide,13.219281,75.421672
SLD_04516,Landslide,13.219752,75.41844
SLD_04517,Landslide,13.219795,75.419941
SLD_04518,Landslide,13.219902,75.418781
SLD_04519,Landslide,13.220686,75.370078
SLD_04520,Landslide,13.220775,75.421766
SLD_04521,Landslide,13.220826,75.434083
SLD_04522,Landslide,13.221155,75.418258
SLD_04523,Landslide,13.221942,75.422984
SLD_04524,Landslide,13.222818,75.423086
SLD_04525,Landslide,13.222957,75.366519
SLD_04526,Landslide,13.223744,75.422957
SLD_04527,Landslide,13.225139,75.180889
SLD_04528,Landslide,13.225767,75.426028
SLD_04529,Landslide,13.226405,75.352974
SLD_04530,Landslide,13.226965,75.353314
SLD_04531,Landslide,13.228207,75.418615
SLD_04532,Landslide,13.229565,75.429101
SLD_04533,Landslide,13.233196,75.432255
SLD_04534,Landslide,13.233731,75.600819
SLD_04535,Landslide,13.233731,75.600819
SLD_04536,Landslide,13.234094,75.435418
SLD_04537,Landslide,13.235303,75.603981
SLD_04538,Landslide,13.23698,75.439819
SLD_04539,Landslide,13.237117,75.351554
SLD_04540,Landslide,13.237212,75.440448
SLD_04541,Landslide,13.237481,75.176153
SLD_04542,Landslide,13.240297,75.610642
SLD_04543,Landslide,13.240308,75.610667
SLD_04544,Landslide,13.253575,75.127911
SLD_04545,Landslide,13.254008,75.128328
SLD_04546,Landslide,13.2614,75.129183
SLD_04547,Landslide,13.262025,75.129508
SLD_04548,Landslide,13.263,75.131
SLD_04549,Landslide,13.269044,75.617364
SLD_04550,Landslide,13.2703,75.620444
SLD_04551,Landslide,13.284292,75.127542
SLD_04552,Landslide,13.28643,75.402691
SLD_04553,Landslide,13.287042,75.149761
SLD_04554,Landslide,13.294071,75.394358
SLD_04555,Landslide,13.299417,75.6255
SLD_04556,Landslide,13.323538,75.351872
SLD_04557,Landslide,13.325028,75.142797
SLD_04558,Landslide,13.327428,75.303499
SLD_04559,Landslide,13.332867,75.561889
SLD_04560,Landslide,13.340753,75.598375
SLD_04561,Landslide,13.341,75.170931
SLD_04562,Landslide,13.341724,75.402631
SLD_04563,Landslide,13.355999,75.358491
SLD_04564,Landslide,13.361614,75.206825
SLD_04565,Landslide,13.362853,75.707381
SLD_04566,Landslide,13.368364,75.74775
SLD_04567,Landslide,13.371161,75.214142
SLD_04568,Landslide,13.374531,75.214092
SLD_04569,Landslide,13.376253,75.211964
SLD_04570,Landslide,13.379221,75.393189
SLD_04571,Landslide,13.380311,75.722208
SLD_04572,Landslide,13.382151,75.385448
SLD_04573,Landslide,13.385728,75.724897
SLD_04574,Landslide,13.387708,75.308033
SLD_04575,Landslide,13.390861,75.180214
SLD_04576,Landslide,13.393819,75.645156
SLD_04577,Landslide,13.394984,75.339296
SLD_04578,Landslide,13.394986,75.645078
SLD_04579,Landslide,13.396244,75.732494
SLD_04580,Landslide,13.398056,75.644892
SLD_04581,Landslide,13.39838,75.372827
SLD_04582,Landslide,13.3989,75.644167
SLD_04583,Landslide,13.401244,75.734019
SLD_04584,Landslide,13.403428,75.609367
SLD_04585,Landslide,13.403739,75.233336
SLD_04586,Landslide,13.405536,75.742908
SLD_04587,Landslide,13.405967,75.74395
SLD_04588,Landslide,13.406292,75.7346
SLD_04589,Landslide,13.407422,75.646506
SLD_04590,Landslide,13.409183,75.618222
SLD_04591,Landslide,13.414597,75.724731
SLD_04592,Landslide,13.417269,75.642972
SLD_04593,Landslide,13.435458,75.742806
SLD_04594,Landslide,13.436708,75.190408
SLD_04595,Landslide,13.442789,75.317796
SLD_04596,Landslide,13.446392,75.269855
SLD_04597,Landslide,13.447556,75.317786
SLD_04598,Landslide,13.453847,75.059181
SLD_04599,Landslide,13.46,74.96
SLD_04600,Landslide,13.471956,75.240756
SLD_04601,Landslide,13.473847,75.033892
SLD_04602,Landslide,13.477825,75.047511
SLD_04603,Landslide,13.485731,75.741561
SLD_04604,Landslide,13.486328,75.078558
SLD_04605,Landslide,13.488889,75.077564
SLD_04606,Landslide,13.493678,75.078692
SLD_04607,Landslide,13.494447,75.078311
SLD_04608,Landslide,13.4945,75.075161
SLD_04609,Landslide,13.495022,75.0807
SLD_04610,Landslide,13.495056,75.079806
SLD_04611,Landslide,13.495556,75.075983
SLD_04612,Landslide,13.495797,75.080294
SLD_04613,Landslide,13.496133,75.077625
