S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name,Elevation_m,Slope_deg,ID,rainfall_total_30d_mm,rainfall_mean_daily_mm,rainfall_max_daily_mm,rainfall_std_daily_mm,rainfall_7d_mm,rainfall_15d_mm,rainfall_30d_mm,rainfall_max_7d_mm,rainfall_max_15d_mm,rainfall_max_30d_mm,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_valid_observations,NDVI_range,Land_Cover_Type,Land_Cover_QC,Soil_clay_0_5cm,Soil_sand_0_5cm,Soil_silt_0_5cm,Soil_soc_0_5cm,Soil_bdod_0_5cm,Soil_phh2o_0_5cm
36908,0,0,12.339382,76.609187,Western Ghats Region,Background / Unspecified,,,,,,,778.9564819335938,2.3647577749582545,SLD09571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3484473684210526,0.051330480098422,0.2439,0.4231,19,0.1791999999999999,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34830,0,0,14.33166,75.637499,Western Ghats Region,Background / Unspecified,,,,,,,585.6024169921875,22.026356285593312,SLD07643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4243833333333333,0.0982215218419119,0.2759,0.6123,18,0.3364,12.0,0.0,28.7,38.3,19.2,13.0,1.4,6.8
5744,1,1,13.88,74.93,Karnataka,Shimoga,Hosanagara,Soil,Slide,,,"Ambiladi-Sampekatte road; Milestone:
Sampekatte-3Km",745.7314453125,28.3753895962928,SLD04879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7869705882352942,0.0319834286136173,0.7221,0.8282,17,0.1061,8.0,0.0,16.6,47.9,22.2,21.6,1.25,6.1
2722,1,1,10.588114,76.611825,Kerala,Palakkad,Chittur,Debris,Flow,2018.0,,,226.1872711181641,23.56718021715693,SLD02706,1.613768748939037,0.0537922916313012,0.2520252168178558,0.0939162975230007,0.0,0.0,1.613768748939037,0.0,0.0,0.2520252168178558,0.68896,0.1396347367752226,0.4646,0.8374,15,0.3728,14.0,0.0,24.1,45.7,16.1,30.0,1.23,5.5
1436,1,1,10.034806,76.80675,Kerala,Ernakulam,Kothamangalam,Debris,Flow,,,Chempankuzhi slide3,103.33438873291016,15.92885669695288,SLD01420,14.076631173491478,0.4692210391163826,8.068114280700684,1.4908470251709804,1.4015503823757172,1.6535303741693497,14.076631173491478,0.2467127442359924,0.2467127442359924,8.068114280700684,0.78242,0.0472708487638749,0.7255,0.9099,15,0.1844,8.0,0.0,25.1,32.9,23.2,30.9,1.08,5.1
39039,0,0,9.848096,77.548333,Western Ghats Region,Background / Unspecified,,,,,,,652.8810424804688,24.566671988195303,SLD11537,12.23116059601307,0.4077053532004356,3.3372561931610107,0.71150268323285,2.097438190132379,2.191957280039787,12.23116059601307,0.3753787279129028,0.3753787279129028,3.3372561931610107,0.6745277777777778,0.0854297771860921,0.5302,0.8534,18,0.3232,8.0,0.0,23.3,39.0,24.4,32.0,1.24,5.9
2385,1,1,10.369325,76.992967,Tamil Nadu,Coimbatore,Valparai,Soil,Slide,,,,1338.15234375,22.5991175269058,SLD02369,9.389098316431046,0.3129699438810348,2.4742393493652344,0.6021581338046841,0.0,0.0,9.389098316431046,0.0,0.0,2.4742393493652344,0.8386411764705882,0.0571770393036349,0.7402,0.9752,17,0.235,2.0,0.0,31.7,28.3,25.9,35.5,0.99,5.2
3800,1,1,11.578055,76.110833,Kerala,Wayanad,Vythiri,Debris,Slide,,,Kottavayal,761.435791015625,12.144634535362004,SLD03782,3.3993125185370445,0.1133104172845681,1.7451298236846924,0.323645413485273,0.05255751311779,0.05255751311779,3.3993125185370445,0.010511502623558,0.010511502623558,1.7451298236846924,0.7490187500000001,0.0617971651857915,0.6228,0.8806,16,0.2578,8.0,0.0,24.5,43.3,20.4,22.5,1.14,5.3
41624,0,0,10.012436,76.571701,Western Ghats Region,Background / Unspecified,,,,,,,19.885814666748047,0.5402305883643097,SLD13920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64871875,0.053230219722134,0.5515,0.7401,16,0.1886,14.0,0.0,21.9,43.0,16.8,23.6,1.16,5.2
36909,0,0,9.104891,76.747535,Western Ghats Region,Background / Unspecified,,,,,,,11.131930351257324,7.031613080164558,SLD09572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7647733333333334,0.0719414590052879,0.6442,0.93,15,0.2858,8.0,0.0,22.1,34.3,29.6,24.7,1.19,5.2
35581,0,0,12.43379,75.183072,Western Ghats Region,Background / Unspecified,,,,,,,50.474571228027344,22.2504924140585,SLD08334,0.4064627457410095,0.0135487581913669,0.0579600594937801,0.0219810281788143,0.336465276777744,0.4064627457410095,0.4064627457410095,0.0579600594937801,0.0579600594937801,0.0579600594937801,0.7949307692307692,0.0261787886342927,0.725,0.8227,13,0.0977,8.0,0.0,28.6,49.1,12.1,24.5,1.12,5.5
39140,0,0,15.46846,74.655814,Western Ghats Region,Background / Unspecified,,,,,,,714.3525390625,3.6851899742120415,SLD11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978823529411765,0.1191086596101125,0.4311,0.8662,17,0.4351,4.0,0.0,20.7,44.7,18.1,17.9,1.3,5.7
2752,1,1,10.6288,76.5319,Kerala,Palakkad,Alathur,Debris,Slide,,,,117.24803161621094,26.69291744674387,SLD02736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6911263157894737,0.1342337879394059,0.2779,0.8313,19,0.5534000000000001,14.0,0.0,24.5,51.0,15.2,31.2,1.16,5.4
35869,0,0,11.145105,76.150142,Western Ghats Region,Background / Unspecified,,,,,,,62.89615249633789,5.019386155863643,SLD08604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7575473684210526,0.0737083846310057,0.6713,0.9458,19,0.2744999999999999,14.0,0.0,25.7,49.5,17.5,21.6,1.2,5.4
