ID,Land_Cover_Type,Land_Cover_QC
SLD00584,8.0,0.0
SLD00585,8.0,0.0
SLD00586,2.0,0.0
SLD00587,8.0,0.0
SLD00588,8.0,0.0
SLD00589,8.0,0.0
SLD00590,2.0,0.0
SLD00591,8.0,0.0
SLD00592,8.0,0.0
SLD00593,2.0,0.0
SLD00594,2.0,0.0
SLD00595,8.0,0.0
SLD00596,8.0,0.0
SLD00597,2.0,0.0
SLD00598,8.0,0.0
SLD00599,8.0,0.0
SLD00600,8.0,0.0
SLD00601,8.0,0.0
SLD00602,2.0,0.0
SLD00603,2.0,0.0
SLD00604,8.0,0.0
SLD00605,8.0,0.0
SLD00606,8.0,0.0
SLD00607,8.0,0.0
SLD00608,8.0,0.0
SLD00609,8.0,0.0
SLD00610,8.0,0.0
SLD00611,8.0,0.0
SLD00612,8.0,0.0
SLD00613,8.0,0.0
SLD00614,8.0,0.0
SLD00615,8.0,0.0
SLD00616,8.0,0.0
SLD00617,8.0,0.0
SLD00618,2.0,0.0
SLD00619,2.0,0.0
SLD00620,2.0,0.0
SLD00621,2.0,0.0
SLD00622,2.0,0.0
SLD00623,2.0,0.0
SLD00624,8.0,0.0
SLD00625,8.0,0.0
SLD00626,8.0,0.0
SLD00627,8.0,0.0
SLD00628,8.0,0.0
SLD00629,8.0,0.0
SLD00630,8.0,0.0
SLD00631,2.0,0.0
SLD00632,8.0,0.0
SLD00633,8.0,0.0
SLD00634,8.0,0.0
SLD00635,8.0,0.0
SLD00636,8.0,0.0
SLD00637,8.0,0.0
SLD00638,8.0,0.0
SLD00639,2.0,0.0
SLD00640,8.0,0.0
SLD00641,8.0,0.0
SLD00642,8.0,0.0
SLD00643,8.0,0.0
SLD00644,8.0,0.0
SLD00645,8.0,0.0
SLD00646,8.0,0.0
SLD00647,8.0,0.0
SLD00648,8.0,0.0
SLD00649,8.0,0.0
SLD00650,8.0,0.0
SLD00651,8.0,0.0
SLD00652,8.0,0.0
SLD00653,8.0,0.0
SLD00654,2.0,0.0
SLD00655,2.0,0.0
SLD00656,2.0,0.0
SLD00657,2.0,0.0
SLD00658,2.0,0.0
SLD00659,2.0,0.0
SLD00660,8.0,0.0
SLD00661,8.0,0.0
SLD00662,8.0,0.0
SLD00663,8.0,0.0
SLD00664,8.0,0.0
SLD00665,8.0,0.0
SLD00666,8.0,0.0
SLD00667,8.0,0.0
SLD00668,2.0,0.0
SLD00669,2.0,0.0
SLD00670,2.0,0.0
SLD00671,8.0,0.0
SLD00672,8.0,0.0
SLD00673,2.0,0.0
SLD00674,2.0,0.0
SLD00675,2.0,0.0
SLD00676,2.0,0.0
SLD00677,8.0,0.0
SLD00678,2.0,0.0
SLD00679,2.0,0.0
SLD00680,2.0,0.0
SLD00681,2.0,0.0
SLD00682,2.0,0.0
SLD00683,2.0,0.0
SLD00684,8.0,0.0
SLD00685,8.0,0.0
SLD00686,8.0,0.0
SLD00687,8.0,0.0
SLD00688,8.0,0.0
SLD00689,8.0,0.0
SLD00690,8.0,0.0
SLD00691,8.0,0.0
SLD00692,8.0,0.0
SLD00693,8.0,0.0
SLD00694,8.0,0.0
