ID,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_valid_observations,NDVI_range,Land_Cover_Type,Land_Cover_QC
SLD10255,0.3119529411764706,0.2335670383360178,-0.0635,0.5893,17,0.6528,10.0,0.0
SLD10256,0.8006222222222222,0.0417944769156594,0.6719,0.8656,18,0.1936999999999999,2.0,0.0
SLD10257,0.8199466666666667,0.0427167224977804,0.7363,0.867,15,0.1307,2.0,0.0
SLD10258,0.7314214285714286,0.0491308641607982,0.6591,0.808,14,0.1489,8.0,0.0
SLD10259,0.7982142857142858,0.0772317278080697,0.56,0.8784,14,0.3183999999999999,8.0,0.0
SLD10260,0.8688272727272728,0.0143517309694051,0.8329,0.8928,11,0.0599,2.0,0.0
SLD10261,0.5054,0.1002522568324524,0.3507,0.6748,17,0.3240999999999999,12.0,0.0
SLD10262,0.4578333333333333,0.0599942933794143,0.3848,0.5716,15,0.1868,10.0,0.0
SLD10263,0.70071,0.1076343610758689,0.4962,0.8368,20,0.3406,8.0,0.0
SLD10264,0.4841333333333333,0.109418715465489,0.3505,0.6983,18,0.3478,12.0,0.0
SLD10265,0.4868947368421052,0.1668572759166221,0.2734,0.8028,19,0.5294,12.0,0.0
SLD10266,0.7860421052631579,0.0675946358472448,0.6243,0.8629,19,0.2386,2.0,0.0
SLD10267,0.7206666666666667,0.0577150718946925,0.6033,0.7989,15,0.1956000000000001,9.0,0.0
SLD10268,0.7998352941176471,0.1227112817815484,0.561,0.993,17,0.4319999999999999,2.0,0.0
SLD10269,0.77354375,0.0532565735379211,0.6645,0.8842,16,0.2197,14.0,0.0
SLD10270,0.6308466666666667,0.0690908291068117,0.5064,0.7539,15,0.2475,14.0,0.0
SLD10271,0.8241350000000001,0.027814995482369,0.781,0.8921,20,0.1110999999999999,8.0,0.0
SLD10272,0.7592266666666667,0.0649297143804268,0.6352,0.8434,15,0.2082,9.0,0.0
SLD10273,0.403225,0.1087344992784411,0.285,0.6402,16,0.3552,12.0,0.0
SLD10274,0.8380263157894736,0.0282848573956938,0.7626,0.8926,19,0.13,2.0,0.0
SLD10275,0.4140263157894737,0.1346227603428899,0.2446,0.7249,19,0.4802999999999999,12.0,0.0
SLD10276,0.5794894736842106,0.1214783103399159,0.4343,0.7917,19,0.3573999999999999,12.0,0.0
SLD10277,0.80229375,0.0511496167303985,0.6949,0.9201,16,0.2252,8.0,0.0
SLD10278,0.5038473684210526,0.1330418370639729,0.3228,0.7577,19,0.4349,12.0,0.0
SLD10279,0.4966470588235294,0.172809454738619,0.2876,0.8022,17,0.5146,10.0,0.0
SLD10280,0.5387466666666667,0.0861356477280098,0.4572,0.7536,15,0.2964,12.0,0.0
SLD10281,0.765057894736842,0.0918842043963154,0.579,0.8857,19,0.3067000000000001,8.0,0.0
SLD10282,0.631325,0.0763478224967811,0.5169,0.8196,16,0.3026999999999999,9.0,0.0
SLD10283,0.5131176470588236,0.146804403183684,0.3427,0.7648,17,0.4221,12.0,0.0
SLD10284,0.5772625,0.1645525442931021,0.3408,0.8546,16,0.5138,5.0,0.0
SLD10285,0.7987,0.0700002678566303,0.6447,0.9055,17,0.2607999999999999,4.0,0.0
SLD10286,0.7342176470588235,0.086628778671511,0.5794,0.8367,17,0.2573,9.0,0.0
SLD10287,0.629835294117647,0.0924275793606572,0.4544,0.7932,17,0.3388,14.0,0.0
SLD10288,0.5548176470588235,0.0671592253090939,0.4665,0.6586,17,0.1920999999999999,12.0,0.0
SLD10289,0.7673823529411765,0.0296542837397507,0.7216,0.8248,17,0.1031999999999999,14.0,0.0
SLD10290,0.74185,0.0731829670529056,0.5979,0.8356,16,0.2377,2.0,0.0
SLD10291,0.58623125,0.1014801505632176,0.4413,0.7658,16,0.3245,9.0,0.0
SLD10292,0.5679947368421052,0.1030057089770821,0.3847,0.7772,19,0.3925,12.0,0.0
SLD10293,0.29955625,0.1028435897775516,0.1628,0.5108,16,0.348,12.0,0.0
SLD10294,0.3368166666666667,0.1876149288173825,0.0804,0.6221,12,0.5417,8.0,2.0
SLD10295,0.5416823529411765,0.1056584487588079,0.3897,0.7601,17,0.3704,12.0,0.0
SLD10296,0.4810941176470588,0.1467332463630355,0.3194,0.7442,17,0.4247999999999999,10.0,0.0
SLD10297,0.8346555555555555,0.0385057707244637,0.772,0.9208,18,0.1487999999999999,8.0,0.0
SLD10298,0.5341235294117647,0.1305661352026807,0.3337,0.8381,17,0.5044,13.0,9.0
SLD10299,0.5979588235294118,0.104525601282793,0.4543,0.7964,17,0.3421,9.0,0.0
SLD10300,0.56265,0.0775833982512401,0.4401,0.6763,20,0.2362,14.0,0.0
SLD10301,0.5782823529411765,0.1454012776564142,0.3087,0.7887,17,0.48,12.0,0.0
SLD10302,0.4699761904761905,0.1746560703347064,0.2432,0.829,21,0.5858,12.0,0.0
SLD10303,0.77661875,0.0377742631739301,0.699,0.842,16,0.143,8.0,0.0
SLD10304,0.73118125,0.0492296823572933,0.6307,0.8016,16,0.1708999999999999,14.0,0.0
SLD10305,0.6949375,0.115984733909252,0.3123,0.815,16,0.5026999999999999,14.0,0.0
SLD10306,0.8241066666666668,0.082001476177189,0.5385,0.8751,15,0.3366,2.0,0.0
SLD10307,0.73539375,0.0416494492760708,0.6779,0.8127,16,0.1348,9.0,0.0
SLD10308,0.5517266666666667,0.1351158469434214,0.3817,0.7902,15,0.4085,12.0,0.0
SLD10309,0.7473,0.0936702476462918,0.597,0.8826,18,0.2856000000000001,5.0,0.0
SLD10310,0.7828222222222222,0.0704114759660129,0.5992,0.8653,18,0.2661,2.0,0.0
SLD10311,0.6409947368421053,0.0538667953142462,0.5213,0.7135,19,0.1922,14.0,0.0
SLD10312,0.5215263157894737,0.1587678663335782,0.2533,0.9317,19,0.6783999999999999,12.0,0.0
SLD10313,0.4214764705882353,0.114375093056857,0.2582,0.7048,17,0.4466,10.0,0.0
SLD10314,0.8396133333333334,0.0497214938671491,0.7119,0.888,15,0.1761,2.0,0.0
SLD10315,0.7753375,0.0689982982881945,0.5832,0.8797,16,0.2965,2.0,0.0
SLD10316,0.6987555555555556,0.1015524507899139,0.5009,0.8345,18,0.3336,12.0,0.0
SLD10317,0.6010705882352941,0.1622033244291939,0.3974,0.8894,17,0.492,12.0,0.0
SLD10318,0.8525,0.0199920921866622,0.8149,0.8871,17,0.0722,2.0,0.0
SLD10319,0.7647882352941177,0.0564686515063107,0.6871,0.9273,17,0.2401999999999999,8.0,0.0
SLD10320,0.7189769230769231,0.0644542622568664,0.5737,0.7995,13,0.2258,2.0,0.0
