S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name,Elevation_m,Slope_deg
1472,1,Landslide,10.04,77.16,Kerala,Idukki,Udumbanchola,Debris,Slide,,,Near Pallivasal,1624.4688720703125,15.68071894279779
1473,1,Landslide,10.04,77.04,Kerala,Idukki,Devikulam,Debris,Flow,2018.0,,Parakudi,1115.9959716796875,12.18540727626208
1474,1,Landslide,10.040128,77.290631,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,719.9341430664062,38.49156985945372
1475,1,Landslide,10.040314,77.291872,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,717.4461059570312,34.62911063562267
1476,1,Landslide,10.041179,76.945875,Kerala,Idukki,Devikulam,Debris,Flow,,,25 acre,1004.3786010742188,19.526371040651217
1477,1,Landslide,10.041342,76.842965,Kerala,Idukki,Devikulam,Debris,Slide,,,Valara,528.72314453125,21.2378261684487
1478,1,Landslide,10.04169,76.910918,Kerala,Idukki,Devikulam,Debris,Slide,,,Kunjipettykudy,928.8978881835938,10.080961359751601
1479,1,Landslide,10.041862,76.914002,Kerala,Idukki,Devikulam,Debris,Slide,,,Kattamudikudy,942.0045166015625,20.841994907679815
1480,1,Landslide,10.041956,76.919657,Kerala,Idukki,Devikulam,Debris,Flow,,,Kattamudi,964.376953125,16.413784021467603
1481,1,Landslide,10.042083,77.04025,Kerala,Idukki,Devikulam,Debris,Slide,,,,1186.000244140625,23.883219230058067
1482,1,Landslide,10.042103,76.912845,Kerala,Idukki,Devikulam,Debris,Slide,,,Kunjipettykudy,925.9660034179688,25.982434410910578
1483,1,Landslide,10.042117,77.301367,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,530.2766723632812,31.617119568750045
1484,1,Landslide,10.042142,77.301744,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,528.7613525390625,31.234843325623256
1485,1,Landslide,10.042278,76.912363,Kerala,Idukki,Devikulam,Debris,Slide,,,Kunjipettykudy,927.2178344726562,25.411613899259898
1486,1,Landslide,10.042353,77.293164,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,701.1171875,30.19214465857463
1487,1,Landslide,10.042678,77.304019,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,491.14117431640625,27.50612683732233
1488,1,Landslide,10.042933,76.924169,Kerala,Idukki,Devikulam,Debris,Slide,,,Kattamudikudy,968.8392333984375,19.891110912215538
1489,1,Landslide,10.043192,77.303367,Tamil Nadu,Teni,Bodinayakanur,Rock,Fall,,,,535.02099609375,35.55231324656755
1490,1,Landslide,10.043547,76.548719,Kerala,Ernakulam,Muvattupuzha,Rock,Flow,,,Mulavalur slide,88.51541900634766,22.957946296936065
1491,1,Landslide,10.043597,77.300431,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,637.9335327148438,35.141666332329834
1492,1,Landslide,10.043702,76.88945,Kerala,Idukki,Devikulam,Debris,Flow,,,Plakkayam,732.8993530273438,26.192753703301936
1493,1,Landslide,10.043981,77.2935,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,696.1236572265625,31.388286376010402
1494,1,Landslide,10.044303,77.277003,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,1255.8560791015625,38.304791445874784
1495,1,Landslide,10.044442,77.299331,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,655.3370361328125,31.321873298539558
1496,1,Landslide,10.044731,76.839075,Kerala,Idukki,Devikulam,Debris,Slide,2018.0,,,498.3031921386719,15.8806249923473
1497,1,Landslide,10.044856,77.306169,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,459.2781982421875,26.82671201089152
1498,1,Landslide,10.045336,77.295475,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,672.349365234375,17.87448177149985
1499,1,Landslide,10.045443,76.901089,Kerala,Idukki,Devikulam,Debris,Slide,,,Plakkayam,892.2212524414062,28.028504824983763
1500,1,Landslide,10.045444,77.04986111,Kerala,Idukki,Devikulam,Soil,Slide,,,,1277.57861328125,14.278010811218618
1501,1,Landslide,10.0455,76.8472,Kerala,Idukki,Devikulam,Rock,Fall,,,Valara,562.6224975585938,20.464646462688172
1502,1,Landslide,10.045503,77.302472,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,624.5114135742188,33.55903710279794
1503,1,Landslide,10.045611,77.3037,Tamil Nadu,Teni,Bodinayakanur,Debris,Slide,,,,560.527099609375,21.997969688394065
1504,1,Landslide,10.046692,77.308981,Tamil Nadu,Teni,Bodinayakanur,Rock,Slide,,,,453.9373474121094,36.76759138173041
