S.No,Latitude,Longitude,Soil_clay_0_5cm,Soil_sand_0_5cm,Soil_silt_0_5cm,Soil_soc_0_5cm,Soil_bdod_0_5cm,Soil_phh2o_0_5cm
187,9.633776,77.157286,33.3,32.8,23.3,37.9,1.04,5.3
188,9.63423,77.154065,30.4,33.3,24.1,37.5,1.05,5.2
189,9.634359,77.157909,28.5,33.3,27.1,41.6,1.04,5.3
190,9.635213,77.152987,31.6,33.1,23.9,38.0,1.06,5.3
191,9.635735,77.151807,30.0,32.4,25.6,32.8,1.05,5.1
192,9.636032,77.163613,27.1,33.5,26.5,34.5,1.06,5.3
193,9.637009,77.163437,27.1,33.5,26.5,34.5,1.06,5.3
194,9.637785,77.170792,25.6,34.8,26.1,30.3,1.12,5.3
195,9.638197,76.887006,23.0,33.3,26.5,32.5,1.12,5.1
196,9.638944,76.868236,21.9,37.4,26.0,35.4,1.1,5.2
197,9.640687,77.166384,29.5,32.6,25.7,31.0,1.1,5.3
198,9.642869,76.893061,23.7,37.4,25.9,30.5,1.09,5.2
199,9.643717,76.868422,22.3,36.6,25.9,35.9,1.06,5.1
200,9.644319,76.896961,23.0,38.9,26.3,32.2,1.12,5.1
201,9.644494,76.867875,22.9,35.3,27.8,35.6,1.06,5.1
202,9.645325,76.905017,22.9,36.2,25.6,30.7,1.12,5.1
203,9.645962,77.076031,29.2,40.0,20.8,29.2,1.2,5.4
204,9.646878,76.902028,23.6,36.3,28.0,32.2,1.12,5.1
205,9.648006,76.889603,23.4,34.2,30.5,32.7,1.12,5.0
206,9.648325,77.094746,29.7,34.0,21.2,32.8,1.06,5.3
207,9.648758,76.888622,23.4,34.2,30.5,32.7,1.12,5.0
208,9.65,77.36,30.1,30.8,24.2,48.0,1.01,5.2
209,9.650014,76.889789,23.0,34.8,27.2,31.6,1.16,5.2
210,9.653094,76.903419,26.8,33.2,25.6,31.5,1.12,5.1
211,9.653403,76.903175,26.8,33.2,25.6,31.5,1.12,5.1
212,9.656433,76.903892,27.7,34.6,26.2,33.6,1.1,5.2
213,9.65845,76.901369,28.3,35.8,27.0,34.3,1.08,5.2
214,9.658569,76.902028,28.8,35.8,26.7,33.9,1.1,5.2
215,9.658686,76.901519,28.8,35.8,26.7,33.9,1.1,5.2
216,9.659356,76.896719,27.5,36.4,26.1,35.8,1.09,5.1
217,9.662285,77.092683,28.5,33.3,23.4,33.2,1.04,5.1
218,9.66703,77.058442,28.5,35.3,23.9,32.7,1.04,5.3
219,9.667328,77.058371,28.5,35.3,23.9,32.7,1.04,5.3
220,9.676364,77.049871,30.1,37.3,21.1,28.0,1.04,5.3
221,9.68,77.39,31.9,30.3,24.1,49.4,1.04,5.2
222,9.685096,77.05283,30.2,36.6,20.5,32.2,1.04,5.1
223,9.69,77.39,32.8,26.8,25.6,58.8,0.97,5.1
224,9.6963,76.8678,27.8,34.6,23.1,30.8,1.12,5.1
225,9.699908,76.834475,23.9,34.7,27.2,29.1,1.1,5.2
226,9.7,77.4,34.1,29.3,23.2,46.6,1.0,5.4
227,9.700267,76.86585,27.3,34.7,24.8,29.1,1.12,5.0
228,9.7005,77.1069,30.4,33.8,24.5,36.2,1.03,5.2
229,9.701489,76.882814,28.5,35.8,24.8,29.0,1.13,5.1
230,9.7015,77.1066,30.4,33.8,24.5,36.2,1.03,5.2
231,9.707703,76.885786,25.2,35.4,26.1,32.2,1.12,5.1
232,9.708394,76.849672,24.3,34.4,26.9,35.0,1.09,5.1
233,9.71,77.41,33.1,31.1,22.7,45.9,1.06,5.4
234,9.715642,77.064433,32.7,37.5,20.2,27.4,1.1,5.2
235,9.715763,77.063932,32.7,37.5,20.2,27.4,1.1,5.2
236,9.72,77.42,28.7,38.2,20.9,45.5,1.14,5.8
237,9.72,77.41,30.1,35.0,23.4,49.3,1.06,5.4
238,9.72,77.74,27.9,37.2,17.9,18.8,1.33,6.6
239,9.728494,76.8422,26.5,33.2,24.8,34.4,1.12,5.2
240,9.73,77.42,24.9,35.6,24.5,42.2,1.14,5.6
241,9.731456,76.815833,25.0,38.8,24.1,35.5,1.09,5.2
242,9.731683,76.821975,26.9,35.6,24.8,34.4,1.09,5.1
243,9.733878,76.822311,25.1,36.0,23.0,34.7,1.08,5.2
244,9.73715,76.825961,25.0,31.8,26.1,32.5,1.1,5.2
245,9.7386,76.8754,25.5,33.7,26.4,32.8,1.08,5.1
246,9.73867,76.87547,25.5,33.7,26.4,32.8,1.08,5.1
247,9.7409,76.8724,24.6,35.6,25.4,32.9,1.06,5.0
248,9.74092,76.87242,24.6,35.6,25.4,32.9,1.06,5.0
249,9.741439,76.841072,24.2,35.0,27.9,35.0,1.15,5.2
250,9.742408,76.871481,25.0,36.5,25.6,34.5,1.07,5.1
251,9.74295,76.820492,25.0,38.5,23.9,31.6,1.09,5.1
252,9.743239,76.819217,25.0,38.5,23.9,31.6,1.09,5.1
253,9.743929,76.871225,25.0,36.5,25.6,34.5,1.07,5.1
254,9.746111,76.867778,24.9,36.5,25.7,32.8,1.12,5.0
255,9.747819,76.865615,24.9,32.3,27.6,32.8,1.1,5.1
256,9.749142,76.865103,24.9,32.3,27.6,32.8,1.1,5.1
257,9.7505,76.8663,25.1,34.9,26.6,32.8,1.12,5.1
258,9.750875,77.129443,27.7,35.2,25.4,30.4,1.08,5.2
259,9.751969,76.888502,25.9,34.0,26.6,35.4,1.02,5.1
260,9.753603,77.135474,27.6,34.2,29.1,31.3,1.1,5.2
261,9.753889,76.862778,24.3,35.4,27.0,32.8,1.1,5.1
262,9.754167,76.863333,26.1,36.2,27.6,32.9,1.1,5.1
263,9.756908,77.125782,28.9,32.4,27.2,28.5,1.16,5.4
264,9.758115,76.887115,26.1,34.9,29.1,37.0,1.02,5.0
265,9.761131,77.112451,31.5,32.5,26.3,27.9,1.13,5.2
266,9.761878,77.11159,33.2,32.7,24.2,26.0,1.11,5.2
267,9.762402,76.886875,27.4,36.7,26.2,32.8,1.08,5.0
268,9.763066,77.082958,29.1,34.5,27.0,32.0,1.1,5.2
269,9.763586,76.882632,28.3,36.0,24.0,33.0,1.12,5.0
270,9.763762,76.836386,23.8,35.2,26.6,35.8,1.04,5.2
271,9.764817,77.109877,31.5,32.8,24.4,26.8,1.14,5.3
272,9.766509,76.881357,28.7,37.6,22.9,31.0,1.1,5.1
273,9.767222,76.855,23.7,35.0,30.2,31.6,1.12,5.1
274,9.767408,76.880724,28.7,37.6,22.9,31.0,1.1,5.1
275,9.768135,77.108294,31.8,34.1,23.1,26.9,1.18,5.4
276,9.768333,76.854722,23.7,35.0,30.2,31.6,1.12,5.1
277,9.768435,77.128288,28.6,34.7,24.4,31.0,1.13,5.1
278,9.769483,77.089057,29.4,34.5,26.1,31.0,1.07,5.2
279,9.769485,76.861242,25.3,36.4,27.1,32.5,1.1,5.3
280,9.770459,76.835165,25.6,38.5,22.8,38.2,1.12,5.2
281,9.770979,77.133498,30.7,29.2,27.6,32.8,1.04,5.0
282,9.7726,76.8275,25.4,37.2,25.6,35.8,1.03,5.1
283,9.774871,77.099124,33.7,32.4,23.4,28.9,1.1,5.2
284,9.775862,77.083611,28.8,33.4,27.2,31.1,1.1,5.3
285,9.777421,76.856547,23.5,38.3,27.2,30.3,1.09,5.2
286,9.7792,76.8503,24.3,38.5,26.6,30.5,1.1,5.2
287,9.7796,76.8499,25.2,37.1,26.5,31.1,1.1,5.2
288,9.7831,76.7858,25.8,37.3,25.4,39.8,1.1,5.1
289,9.786024,77.124144,32.7,34.1,24.4,30.9,1.11,5.1
290,9.788433,77.211174,29.1,35.5,25.6,25.2,1.14,5.3
291,9.789482,77.09414,31.4,33.4,25.2,27.6,1.09,5.2
292,9.789688,77.091498,32.5,33.8,26.2,27.8,1.14,5.3
293,9.789943,77.085321,31.0,33.9,26.9,26.4,1.08,5.2
294,9.790765,77.066116,30.0,32.7,23.7,31.6,1.06,5.3
295,9.792432,76.82916,26.2,35.2,25.6,32.5,1.08,5.1
296,9.792627,77.067686,30.5,32.8,24.0,27.9,1.06,5.3
297,9.793412,77.064957,29.6,32.5,23.8,30.9,1.06,5.2
298,9.794404,77.060807,30.8,33.6,24.9,33.2,1.15,5.4
299,9.794839,77.081397,31.1,30.7,25.9,31.1,1.08,5.2
300,9.795973,77.104232,31.6,35.3,21.5,27.9,1.16,5.3
301,9.796795,77.067566,29.9,33.6,24.2,26.8,1.1,5.2
302,9.796861,76.820806,25.6,37.6,27.6,32.0,1.11,5.1
303,9.796923,77.192568,28.3,36.7,22.6,25.9,1.17,5.2
304,9.797631,77.075655,31.1,34.8,25.1,29.0,1.07,5.2
305,9.798944,77.108953,30.8,35.3,22.5,29.1,1.2,5.4
306,9.799008,77.139263,29.6,36.5,22.1,26.0,1.15,5.2
307,9.799312,77.135392,29.5,36.5,21.9,26.3,1.17,5.2
308,9.801304,77.137756,29.3,37.3,22.9,31.2,1.09,5.2
309,9.801902,77.137459,29.3,37.3,22.9,31.2,1.09,5.2
310,9.8027,76.8477,26.9,39.0,23.1,27.8,1.06,5.1
311,9.803466,77.120209,30.0,35.6,22.0,26.3,1.14,5.2
312,9.805075,77.120256,29.3,35.6,22.1,27.0,1.14,5.2
313,9.805416,77.079731,29.7,33.9,23.9,25.9,1.11,5.2
314,9.805846,77.151282,28.9,35.1,26.0,31.1,1.06,5.1
315,9.806066,77.123588,30.9,36.5,21.2,25.6,1.13,5.3
316,9.806708,77.08415,33.2,32.6,23.7,26.8,1.14,5.2
317,9.80704,77.068331,30.2,35.4,22.9,27.8,1.07,5.1
318,9.807055,77.150241,28.3,35.4,26.3,30.4,1.04,5.1
319,9.809431,77.100034,31.3,34.0,21.7,27.8,1.18,5.4
320,9.809479,77.131411,29.7,36.5,22.9,31.9,1.06,5.3
321,9.81,76.88,26.8,34.5,22.5,29.1,1.1,5.1
322,9.810211,77.064195,26.9,37.6,23.2,25.2,1.1,5.2
323,9.810385,77.106483,29.6,35.6,21.4,23.9,1.15,5.2
324,9.810415,77.063431,26.9,37.6,23.2,25.2,1.1,5.2
325,9.810482,77.101006,30.4,35.1,21.7,27.0,1.17,5.4
326,9.810797,77.099842,31.3,34.0,21.7,27.8,1.18,5.4
327,9.810814,77.099897,31.3,34.0,21.7,27.8,1.18,5.4
328,9.810828,77.106376,29.6,35.6,21.4,23.9,1.15,5.2
329,9.810926,77.099432,31.3,34.0,21.7,27.8,1.18,5.4
330,9.810955,77.059324,27.2,37.2,23.8,25.6,1.1,5.2
331,9.811021,77.078098,28.3,33.7,25.1,27.9,1.14,5.4
332,9.811061,77.131266,29.7,36.5,22.9,31.9,1.06,5.3
333,9.811184,77.09855,29.2,35.4,21.8,24.6,1.14,5.1
334,9.811206,77.098031,29.2,35.4,21.8,24.6,1.14,5.1
335,9.811227,77.111993,29.7,36.0,21.2,26.0,1.14,5.3
336,9.8116,76.8508,27.1,37.4,24.8,32.0,1.04,5.0
337,9.811719,77.076298,28.6,34.3,26.0,27.1,1.16,5.3
338,9.811895,77.077038,28.6,34.3,26.0,27.1,1.16,5.3
339,9.81228,77.077614,28.6,34.3,26.0,27.1,1.16,5.3
340,9.812449,76.853725,25.0,37.1,25.9,33.8,1.04,5.1
341,9.812467,77.07664,28.6,34.3,26.0,27.1,1.16,5.3
342,9.812482,77.110779,30.0,35.8,21.3,24.0,1.14,5.2
343,9.812495,76.85358,25.0,37.1,25.9,33.8,1.04,5.1
344,9.813075,76.876351,27.5,33.2,20.7,30.3,1.12,5.1
345,9.813178,77.056494,29.2,36.4,23.0,24.3,1.11,5.2
346,9.813493,76.875962,27.5,33.2,20.7,30.3,1.12,5.1
347,9.814796,76.875696,27.2,35.8,20.9,30.3,1.12,5.1
348,9.816192,76.838889,27.2,37.8,23.8,28.0,1.06,5.2
349,9.817655,77.079726,27.1,35.5,23.6,25.2,1.09,5.2
350,9.818091,77.127319,31.2,35.8,21.4,25.3,1.13,5.2
351,9.818911,77.129202,31.8,33.3,26.6,27.9,1.1,5.4
352,9.820333,77.082221,29.5,34.7,25.5,24.0,1.1,5.1
353,9.820459,77.127344,30.9,35.4,21.9,28.1,1.1,5.3
354,9.820806,76.871099,26.9,40.7,21.6,29.1,1.09,5.2
355,9.822065,77.143594,30.9,33.9,25.5,29.1,1.19,5.5
356,9.8222,76.8433,27.6,39.5,22.2,31.9,1.06,5.1
357,9.822208,77.143896,30.9,33.9,25.5,29.1,1.19,5.5
358,9.823,76.8397,26.2,40.1,22.9,30.5,1.09,5.2
359,9.826742,77.141574,32.6,31.9,26.8,31.2,1.12,5.3
360,9.826816,77.141255,32.6,31.9,26.8,31.2,1.12,5.3
361,9.828145,76.866473,26.5,39.2,22.1,29.6,1.08,5.2
362,9.82866,76.866659,25.4,39.0,26.1,30.3,1.07,5.2
363,9.828943,77.160772,26.3,31.2,28.6,26.1,1.18,5.5
364,9.829444,76.749722,26.5,38.6,23.4,27.8,1.08,5.3
365,9.837212,77.173549,29.4,31.0,26.1,34.5,1.12,5.4
366,9.83811,77.18514,29.0,32.4,26.5,32.2,1.08,5.4
367,9.838144,77.18461,29.0,32.4,26.5,32.2,1.08,5.4
368,9.838783,76.888009,26.3,38.1,24.3,32.5,1.15,5.1
369,9.83882,77.153524,28.5,33.0,23.8,28.0,1.2,5.6
370,9.839776,76.865554,25.9,35.0,27.6,30.5,1.1,5.2
371,9.839808,76.864707,25.9,35.0,27.6,30.5,1.1,5.2
372,9.840509,76.929767,27.9,35.6,23.5,31.0,1.06,5.1
373,9.840509,76.929767,27.9,35.6,23.5,31.0,1.06,5.1
374,9.840603,76.885914,26.1,36.6,26.7,31.8,1.15,5.1
375,9.840603,76.879387,26.4,36.0,27.9,37.9,1.12,5.1
376,9.840678,76.832971,25.1,38.3,24.5,25.6,1.14,5.2
377,9.840886,76.879006,26.4,36.0,27.9,37.9,1.12,5.1
378,9.841301,77.1688,27.7,34.5,27.0,32.5,1.1,5.3
379,9.841969,76.885748,26.1,36.6,26.7,31.8,1.15,5.1
380,9.842312,77.160549,28.6,32.8,26.8,30.4,1.09,5.2
381,9.842521,76.965072,27.0,35.5,25.2,33.5,1.07,5.0
382,9.842521,76.965072,27.0,35.5,25.2,33.5,1.07,5.0
