S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name
35927,0,Background,9.769296,76.97994,Western Ghats Region,Background / Unspecified,,,,,,
35928,0,Background,9.599904,77.13132,Western Ghats Region,Background / Unspecified,,,,,,
35929,0,Background,9.50541,77.702853,Western Ghats Region,Background / Unspecified,,,,,,
35930,0,Background,18.483981,72.971136,Western Ghats Region,Background / Unspecified,,,,,,
35931,0,Background,10.829444,77.526361,Western Ghats Region,Background / Unspecified,,,,,,
35932,0,Background,16.118081,74.497525,Western Ghats Region,Background / Unspecified,,,,,,
35933,0,Background,9.295354,76.443267,Western Ghats Region,Background / Unspecified,,,,,,
35934,0,Background,15.215094,73.957986,Western Ghats Region,Background / Unspecified,,,,,,
35935,0,Background,9.44451,76.812335,Western Ghats Region,Background / Unspecified,,,,,,
35936,0,Background,16.950043,73.545479,Western Ghats Region,Background / Unspecified,,,,,,
35937,0,Background,14.320568,75.651087,Western Ghats Region,Background / Unspecified,,,,,,
35938,0,Background,12.207134,76.181989,Western Ghats Region,Background / Unspecified,,,,,,
35939,0,Background,9.308068,76.787618,Western Ghats Region,Background / Unspecified,,,,,,
35940,0,Background,13.372495,74.707242,Western Ghats Region,Background / Unspecified,,,,,,
35941,0,Background,15.572407,74.179143,Western Ghats Region,Background / Unspecified,,,,,,
35942,0,Background,15.400754,75.139176,Western Ghats Region,Background / Unspecified,,,,,,
35943,0,Background,9.194353,77.111185,Western Ghats Region,Background / Unspecified,,,,,,
35944,0,Background,12.306536,75.374139,Western Ghats Region,Background / Unspecified,,,,,,
35945,0,Background,18.238118,73.970072,Western Ghats Region,Background / Unspecified,,,,,,
35946,0,Background,17.814662,74.086172,Western Ghats Region,Background / Unspecified,,,,,,
35947,0,Background,12.140339,75.821664,Western Ghats Region,Background / Unspecified,,,,,,
35948,0,Background,17.244548,73.636458,Western Ghats Region,Background / Unspecified,,,,,,
35949,0,Background,12.463384,75.533637,Western Ghats Region,Background / Unspecified,,,,,,
35950,0,Background,11.480853,75.658873,Western Ghats Region,Background / Unspecified,,,,,,
35951,0,Background,8.80039,76.827469,Western Ghats Region,Background / Unspecified,,,,,,
35952,0,Background,15.017734,74.534793,Western Ghats Region,Background / Unspecified,,,,,,
35953,0,Background,17.393083,73.285164,Western Ghats Region,Background / Unspecified,,,,,,
35954,0,Background,16.117587,74.188678,Western Ghats Region,Background / Unspecified,,,,,,
35955,0,Background,11.060477,76.082841,Western Ghats Region,Background / Unspecified,,,,,,
35956,0,Background,10.240117,77.313353,Western Ghats Region,Background / Unspecified,,,,,,
35957,0,Background,19.289959,73.85035,Western Ghats Region,Background / Unspecified,,,,,,
35958,0,Background,11.14915,76.744938,Western Ghats Region,Background / Unspecified,,,,,,
35959,0,Background,15.704444,74.764292,Western Ghats Region,Background / Unspecified,,,,,,
35960,0,Background,14.756811,74.936907,Western Ghats Region,Background / Unspecified,,,,,,
35961,0,Background,18.905385,74.065034,Western Ghats Region,Background / Unspecified,,,,,,
35962,0,Background,16.50272,74.208874,Western Ghats Region,Background / Unspecified,,,,,,
35963,0,Background,19.312658,73.817188,Western Ghats Region,Background / Unspecified,,,,,,
35964,0,Background,9.27485,76.955407,Western Ghats Region,Background / Unspecified,,,,,,
35965,0,Background,15.404287,74.636687,Western Ghats Region,Background / Unspecified,,,,,,
