ID,Category,Latitude,Longitude
SLD_00485,Landslide,9.857386,76.964303
SLD_00486,Landslide,9.857386,76.964303
SLD_00487,Landslide,9.8575,76.888889
SLD_00488,Landslide,9.858269,77.121561
SLD_00489,Landslide,9.858306,76.963114
SLD_00490,Landslide,9.858306,76.963114
SLD_00491,Landslide,9.858459,76.952313
SLD_00492,Landslide,9.858459,76.952313
SLD_00493,Landslide,9.858502,76.952642
SLD_00494,Landslide,9.858502,76.952642
SLD_00495,Landslide,9.858592,76.873099
SLD_00496,Landslide,9.858636,76.952998
SLD_00497,Landslide,9.858636,76.952998
SLD_00498,Landslide,9.858641,76.964611
SLD_00499,Landslide,9.858641,76.964611
SLD_00500,Landslide,9.858681,76.968641
SLD_00501,Landslide,9.858681,76.968641
SLD_00502,Landslide,9.85877,76.964138
SLD_00503,Landslide,9.85877,76.964138
SLD_00504,Landslide,9.858884,76.890384
SLD_00505,Landslide,9.858889,76.886111
SLD_00506,Landslide,9.859167,76.855556
SLD_00507,Landslide,9.859218,76.964916
SLD_00508,Landslide,9.859218,76.964916
SLD_00509,Landslide,9.859405,76.884858
SLD_00510,Landslide,9.859526,76.847944
SLD_00511,Landslide,9.85955,76.884399
SLD_00512,Landslide,9.859678,76.969604
SLD_00513,Landslide,9.859678,76.969604
SLD_00514,Landslide,9.859747,76.962467
SLD_00515,Landslide,9.859747,76.962467
SLD_00516,Landslide,9.859944,76.886817
SLD_00517,Landslide,9.859967,76.954255
SLD_00518,Landslide,9.859967,76.954255
SLD_00519,Landslide,9.860072,76.962541
SLD_00520,Landslide,9.860072,76.962541
SLD_00521,Landslide,9.860248,76.861385
SLD_00522,Landslide,9.860453,76.887968
SLD_00523,Landslide,9.860469,77.113791
SLD_00524,Landslide,9.860503,76.969244
SLD_00525,Landslide,9.860503,76.969244
SLD_00526,Landslide,9.860657,76.886985
SLD_00527,Landslide,9.860874,76.96612
SLD_00528,Landslide,9.860874,76.96612
SLD_00529,Landslide,9.860952,76.962091
SLD_00530,Landslide,9.860952,76.962091
SLD_00531,Landslide,9.861039,76.951718
SLD_00532,Landslide,9.861039,76.951718
SLD_00533,Landslide,9.861111,76.852778
SLD_00534,Landslide,9.86143,76.842083
SLD_00535,Landslide,9.861544,76.865667
SLD_00536,Landslide,9.861556,77.113324
SLD_00537,Landslide,9.861767,76.887365
SLD_00538,Landslide,9.861798,76.953318
SLD_00539,Landslide,9.861798,76.953318
SLD_00540,Landslide,9.8618,77.104758
SLD_00541,Landslide,9.861944,76.886944
SLD_00542,Landslide,9.862858,76.948292
SLD_00543,Landslide,9.862858,76.948292
SLD_00544,Landslide,9.863503,76.88732
SLD_00545,Landslide,9.864132,77.109066
SLD_00546,Landslide,9.864429,76.951665
SLD_00547,Landslide,9.864429,76.951665
SLD_00548,Landslide,9.864715,76.848018
SLD_00549,Landslide,9.864936,76.951604
SLD_00550,Landslide,9.864936,76.951604
SLD_00551,Landslide,9.865372,76.946557
SLD_00552,Landslide,9.865372,76.946557
SLD_00553,Landslide,9.8655,76.952483
SLD_00554,Landslide,9.8655,76.952483
SLD_00555,Landslide,9.865606,76.943504
SLD_00556,Landslide,9.865606,76.943504
SLD_00557,Landslide,9.865639,76.847577
SLD_00558,Landslide,9.865725,76.952684
SLD_00559,Landslide,9.865725,76.952684
SLD_00560,Landslide,9.866414,76.964794
SLD_00561,Landslide,9.866414,76.964794
SLD_00562,Landslide,9.866451,76.964658
SLD_00563,Landslide,9.866451,76.964658
SLD_00564,Landslide,9.866746,77.128843
SLD_00565,Landslide,9.86692,76.946165
SLD_00566,Landslide,9.86692,76.946165
SLD_00567,Landslide,9.867157,76.962939
SLD_00568,Landslide,9.867157,76.962939
SLD_00569,Landslide,9.86717,76.848688
SLD_00570,Landslide,9.867376,76.885008
SLD_00571,Landslide,9.867475,76.962613
SLD_00572,Landslide,9.867475,76.962613
SLD_00573,Landslide,9.867655,76.849283
SLD_00574,Landslide,9.868541,76.95024
SLD_00575,Landslide,9.868541,76.95024
SLD_00576,Landslide,9.868611,76.85
SLD_00577,Landslide,9.868634,76.953002
SLD_00578,Landslide,9.868634,76.953002
SLD_00579,Landslide,9.868821,76.885135
SLD_00580,Landslide,9.868878,76.957598
SLD_00581,Landslide,9.868878,76.957598
SLD_00582,Landslide,9.869147,76.945512
SLD_00583,Landslide,9.869147,76.945512
SLD_00584,Landslide,9.869201,76.945649
SLD_00585,Landslide,9.869201,76.945649
SLD_00586,Landslide,9.869258,77.129597
SLD_00587,Landslide,9.869548,77.100131
SLD_00588,Landslide,9.869572,76.953272
SLD_00589,Landslide,9.869572,76.953272
SLD_00590,Landslide,9.870136,76.846863
SLD_00591,Landslide,9.87027,76.956157
SLD_00592,Landslide,9.87027,76.956157
SLD_00593,Landslide,9.870606,76.930808
SLD_00594,Landslide,9.870606,76.930808
SLD_00595,Landslide,9.870638,76.955056
SLD_00596,Landslide,9.870638,76.955056
SLD_00597,Landslide,9.870913,76.84705
SLD_00598,Landslide,9.870957,76.9405
SLD_00599,Landslide,9.870957,76.9405
SLD_00600,Landslide,9.871007,76.939607
SLD_00601,Landslide,9.871007,76.939607
SLD_00602,Landslide,9.871133,76.933436
SLD_00603,Landslide,9.871133,76.933436
SLD_00604,Landslide,9.871323,76.955397
SLD_00605,Landslide,9.871323,76.955397
SLD_00606,Landslide,9.871423,76.939682
SLD_00607,Landslide,9.871423,76.939682
SLD_00608,Landslide,9.871444,76.954687
SLD_00609,Landslide,9.871444,76.954687
SLD_00610,Landslide,9.871462,76.954851
SLD_00611,Landslide,9.871462,76.954851
SLD_00612,Landslide,9.8716,76.940285
SLD_00613,Landslide,9.8716,76.940285
SLD_00614,Landslide,9.871783,76.95406
SLD_00615,Landslide,9.871783,76.95406
SLD_00616,Landslide,9.871863,76.940195
SLD_00617,Landslide,9.871863,76.940195
SLD_00618,Landslide,9.871944,76.867222
SLD_00619,Landslide,9.871991,76.938318
SLD_00620,Landslide,9.871991,76.938318
SLD_00621,Landslide,9.872103,76.837749
SLD_00622,Landslide,9.87211,76.9381
SLD_00623,Landslide,9.87211,76.9381
SLD_00624,Landslide,9.872142,76.9544
SLD_00625,Landslide,9.872142,76.9544
SLD_00626,Landslide,9.872172,76.93986
SLD_00627,Landslide,9.872172,76.93986
SLD_00628,Landslide,9.872202,76.962805
SLD_00629,Landslide,9.872202,76.962805
SLD_00630,Landslide,9.872228,76.942668
SLD_00631,Landslide,9.872228,76.836263
SLD_00632,Landslide,9.872228,76.942668
SLD_00633,Landslide,9.872696,76.953947
SLD_00634,Landslide,9.872696,76.953947
SLD_00635,Landslide,9.872726,76.953501
SLD_00636,Landslide,9.872726,76.953501
SLD_00637,Landslide,9.872755,76.953081
